slot_id;azione;doc_id;rete;dow_mask;t_start_min;t_end_min;letto;titolo;valido_da;valido_a;solo;escluso;replica;nota
rai_tvprogram_inverno2026:RAI2:0010000:1425:2;;rai_tvprogram_inverno2026;RAI2;0010000;1425;1560;GLIOCCHI DE IUSICISTA -3/;GLI OCCHI DEL MUSICISTA;;;;;;"proposta; 'fino al 3/?' illeggibile"
rai_tvprogram_inverno2026:RAI2:0000001:1425:0;;rai_tvprogram_inverno2026;RAI2;0000001;1425;1470;TG2 STORIE (401 meteo R;TG2 STORIE;;;;;;"proposta; (40') + meteo R"
rai_tvprogram_inverno2026:RAI3:0011110:360:0;;rai_tvprogram_inverno2026;RAI3;0011110;360;435;SCOUC RAI NEWS;RAI NEWS 24;-;-;;;;"proposta; finestra 2/4 spuria (fuori periodo)"
rai_tvprogram_inverno2026:RAI3:0000001:630:0;;rai_tvprogram_inverno2026;RAI3;0000001;630;660;105 TGRAVC AN VAL 1;;;;;;;leggere PDF: SAB 10:30, TGR?
rai_tvprogram_inverno2026:RAI3:1000000:735:0;;rai_tvprogram_inverno2026;RAI3;1000000;735;750;TC3 FLimea fs;TG3;;;;;;"proposta; DOM 12:15"
rai_tvprogram_inverno2026:RAI3:1000000:750:0;;rai_tvprogram_inverno2026;RAI3;1000000;750;795;1225 TGR ALTAQUOTA 30°;TGR ALTA QUOTA;;;;;;"proposta; 12.25"
rai_tvprogram_inverno2026:RAI3:0111110:900:0;;rai_tvprogram_inverno2026;RAI3;0111110;900;915;TOR PAFFARI 1150 1S1 RA00 50 187;TGR PIAZZA AFFARI;;;;;;"proposta; 'TOR PAFFARI'; coda +TG3 LIS? illeggibile"
rai_tvprogram_inverno2026:RAI3:0001000:1275:1;;rai_tvprogram_inverno2026;RAI3;0001000;1275;1500;[FILM CHIL'HA VISTO;CHI L'HA VISTO?;-;-;;;;"proposta; finestra 7/1 spuria (era 'FILM il 7/1' incollato: riga nuova se serve)"
rai_tvprogram_inverno2026:RAI3:0000010:1275:3;;rai_tvprogram_inverno2026;RAI3;0000010;1275;1500;[FILM ,2712];;;;;;;leggere PDF: VEN 21:15 FILM -27/1?
rai_tvprogram_inverno2026:RAI3:0000001:1290:0;;rai_tvprogram_inverno2026;RAI3;0000001;1290;1425;CITA VEALE FILM -2812 LA PELLE DEL MONDO;;;;;;;leggere PDF: SAB prime ?VITALE + FILM -28/2 + LA PELLE DEL MONDO 14/2
rai_tvprogram_primavera2026:RAI1:0111110:510:0;;rai_tvprogram_primavera2026;RAI1;0111110;535;600;RÃI PARLAMENTO TG B1 +9.00 TG1 US (3] nel corsol;RAI PARLAMENTO TG + 9.00 TG1 LIS;;;;;;"proposta; annotazione nel corso"
rai_tvprogram_primavera2026:RAI1:0111110:1125:0;;rai_tvprogram_primavera2026;RAI1;0111110;1120;1200;L'EREDITÁ al 24/ REAZIONE CATENA;L'EREDITA';-;2026-05-24;;;;"proposta; 'f. al 24/5' illeggibile; REAZIONE A CATENA dal 25/5 = riga nuova in fondo"
rai_tvprogram_primavera2026:RAI1:0111110:1230:0;;rai_tvprogram_primavera2026;RAI1;0111110;1230;1235;CINQUE MINUTI 115;CINQUE MINUTI;;;;2026-03-31,2026-04-03,2026-04-06,2026-05-01;;"proposta; ripristinato l'1/5 perso ('115' ambiguo)"
rai_tvprogram_primavera2026:RAI1:0010000:1290:1;;rai_tvprogram_primavera2026;RAI1;0010000;1290;1425;HCTON 1S;FICTION;2026-05-19;2026-05-19;;;true;"proposta; 'HCTON 1S' = FICTION (R) 19/5, verificato sul PDF"
rai_tvprogram_primavera2026:RAI1:0000100:1290:1;;rai_tvprogram_primavera2026;RAI1;0000100;1290;1515;LA BUONA STELLA 7-215 MORGANE;LA BUONA STELLA;2026-05-07;2026-05-21;2026-05-07,2026-05-14,2026-05-21;;;"proposta; '7-215' = 7-21/5; MORGANE 28/5 = riga nuova in fondo"
rai_tvprogram_primavera2026:RAI1:0000010:1290:3;elimina;rai_tvprogram_primavera2026;RAI1;0000010;1290;1440;TG1 SERĄ (31;;;;;;;"proposta; e' l'annotazione TG1 SERA (3') dentro la cella VEN, non uno slot"
rai_tvprogram_primavera2026:RAI1:0000010:1290:4;;rai_tvprogram_primavera2026;RAI1;0000010;1290;1440;[SP. PORTA A PORTA+ -VIA CRUCIS +FILM;SP. PORTA A PORTA + VIA CRUCIS + FILM;;;;;;"proposta; Venerdi' Santo 3/4, finestra gia' corretta"
rai_tvprogram_primavera2026:RAI1:0000001:1290:2;;rai_tvprogram_primavera2026;RAI1;0000001;1290;1440;FILM 231 INTRATT. 301 TGI SERA 13);FILM;2026-05-23;2026-05-23;;;;"proposta; '231'=23/5; INTRATT. (R) 30/5 = riga nuova in fondo; TG1 SERA era annotazione"
rai_tvprogram_primavera2026:RAI2:0100000:120:0;;rai_tvprogram_primavera2026;RAI2;0100000;120;180;(SEGUE) RAI NEWS 24 (Bimulcast) 0600- 530 SERIALE RePICa;SERIALE;;;;;true;"proposta; '(segue) RAI NEWS 24' + seriale replica fino 5.30"
rai_tvprogram_primavera2026:RAI2:0000001:120:0;;rai_tvprogram_primavera2026;RAI2;0000001;120;180;(SEGUE) RAI NEWS 24 (Bimulcast) 0600- 530 SERIALE RePICa;SERIALE;;;;;true;"proposta; come sopra"
rai_tvprogram_primavera2026:RAI2:0000110:525:0;;rai_tvprogram_primavera2026;RAI2;0000110;595;600;IMPERDIBILI(3;IMPERDIBILI;;;;;;"proposta; 9.55 (3')"
rai_tvprogram_primavera2026:RAI2:1000000:585:2;;rai_tvprogram_primavera2026;RAI2;1000000;680;780;| CITOFONARE RAI 2;CITOFONARE RAI 2;;;;;;"proposta; solo pulizia del '|'"
rai_tvprogram_primavera2026:RAI2:1000000:810:0;;rai_tvprogram_primavera2026;RAI2;1000000;810;825;TG2 COSTUME E SOCIETA TOЗ ПEСO ILBELLO;TG2 COSTUME E SOCIETA';;;;;;"proposta; coda cirillica = artefatto"
rai_tvprogram_primavera2026:RAI2:0011100:810:0;;rai_tvprogram_primavera2026;RAI2;0011100;810;825;TG2 COSTUME E SOCIETA TOЗ ПEСO ILBELLO;TG2 COSTUME E SOCIETA';;;;;;"proposta; come sopra"
rai_tvprogram_primavera2026:RAI2:1000000:825:2;;rai_tvprogram_primavera2026;RAI2;1000000;825;1065;GREEN LOVERS O 135;GREEN LOVERS;;;;;;"proposta titolo; 'O 135' = dal 13/5? leggere PDF"
rai_tvprogram_primavera2026:RAI2:0000010:840:0;;rai_tvprogram_primavera2026;RAI2;0000010;840;1020;(14.00-17.15) CICLISMO, GIRO D'ITALIA 2026( , lunedi , , ) + PROC.TAPPA ( );CICLISMO: GIRO D'ITALIA 2026 + PROCESSO ALLA TAPPA;;;;;;"proposta titolo; date/giorni (mix ven-lun) da verificare sul PDF"
rai_tvprogram_primavera2026:RAI2:0000001:840:0;;rai_tvprogram_primavera2026;RAI2;0000001;840;1080;PLAYLIST f.215;PLAYLIST;;2026-05-02;;;;"proposta; 'f.215' = fino al 2/5 (sabato)"
rai_tvprogram_primavera2026:RAI2:0000001:840:3;;rai_tvprogram_primavera2026;RAI2;0000001;1020;1080;TOP —;TOP;;;;;;"proposta; finestra fino 2/5 gia' letta"
rai_tvprogram_primavera2026:RAI2:1000000:1065:0;;rai_tvprogram_primavera2026;RAI2;1000000;1065;1080;1750 TG SPORT DOM;TG SPORT DOM;;;;;;"proposta; 17.50"
rai_tvprogram_primavera2026:RAI2:0010000:1290:0;;rai_tvprogram_primavera2026;RAI2;0010000;1290;1560;TASERA A LETT ARDI 31/: BELVE 714;;;;;;;leggere PDF e spezzare: STASERA A LETTO TARDI 31/3? + BELVE dal 7/4?
rai_tvprogram_primavera2026:RAI2:0010000:1290:1;;rai_tvprogram_primavera2026;RAI2;0010000;1290;1560;EUROVISION S.C 1 SEMIF.121 BELVE CRIMEd;;;;;;;leggere PDF e spezzare: EUROVISION 1a SEMIF. 12/5 + BELVE CRIME d.19/5?
rai_tvprogram_primavera2026:RAI2:0000001:1380:0;;rai_tvprogram_primavera2026;RAI2;0000001;1380;1425;IL SABATO AL SS° t.235 SERIALE 3N5;;;;;;;leggere PDF: 'IL SABATO AL 55°? t.23/5 SERIALE 3N5'
rai_tvprogram_primavera2026:RAI2:1000000:1365:1;;rai_tvprogram_primavera2026;RAI2;1000000;1470;1500;L'ALTRA DS (35 : al , 29/;;;;;;;leggere PDF: L'ALTRA DS (35') al 29/? — finestra annullata dal parser
rai_tvprogram_primavera2026:RAI3:1000000:750:0;;rai_tvprogram_primavera2026;RAI3;1000000;750;795;1225 TGR ALTAQUOTA 30;TGR ALTA QUOTA;;;;;;"proposta; 12.25"
rai_tvprogram_primavera2026:RAI3:0110000:885:0;;rai_tvprogram_primavera2026;RAI3;0110000;890;915;TGR LEONARDO (151;TGR LEONARDO;;;;;;"proposta; (15')"
rai_tvprogram_primavera2026:RAI3:0001110:885:0;;rai_tvprogram_primavera2026;RAI3;0001110;890;915;TGR LEONARDO (151;TGR LEONARDO;;;;;;"proposta; (15')"
rai_tvprogram_primavera2026:RAI3:0000010:1545:0;;rai_tvprogram_primavera2026;RAI3;0000010;1545;1560;WA TALANENTO MAGAEIME CT;RAI PARLAMENTO MAGAZINE;;;;;;"proposta; 'WA TALANENTO MAGAEIME' — verificare"
curatela:primavera:reazione-a-catena;nuovo;rai_tvprogram_primavera2026;RAI1;0111110;1120;1200;;REAZIONE A CATENA;2026-05-25;;;;;"proposta; d. 25/5 (18.40-20.00)"
curatela:primavera:morgane-28-5;nuovo;rai_tvprogram_primavera2026;RAI1;0000100;1290;1515;;MORGANE;2026-05-28;2026-05-28;;;;"proposta; GIO 28/5"
curatela:primavera:intratt-30-5;nuovo;rai_tvprogram_primavera2026;RAI1;0000001;1290;1440;;INTRATT.;2026-05-30;2026-05-30;;;true;"proposta; SAB 30/5 (R)"
